text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
aguilera,es,,Names-Last,medium,false,false,false,embeddable,false,false,false,,
aguirre,es,,Names-Last,medium,false,false,false,embeddable,false,false,false,,
agurketud,da,,Bullying,high,false,false,true,exactMatch,true,true,false,agurketud,
agüero,es,,Names-Last,medium,false,false,false,embeddable,false,false,false,,
ah count,en,,Account;Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
ahab,en,,Disney,medium,false,false,true,nonEmbeddable,false,true,false,,
ahs,en,,Disney;Vulgarity,medium,false,false,true,nonEmbeddable,false,true,false,,
ahuachapán,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in El Salvidor,
ahuevar,es,,Vulgarity,medium,false,false,true,embeddable,false,true,true,,
ahuevonada,es,ahuevonado,Disney,mild,false,false,true,embeddable,false,true,false,,
ai id is,en,,Disney,medium,false,false,true,embeddable,false,true,false,AIDS,
ai se eu te pego,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
aibonito,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in Puerto Rico,
aid zzz,en,,Disney,medium,false,false,true,embeddable,false,true,false,,
aids,da,aeids;æids,Bullying;Sexual,high,false,false,false,embeddable,true,true,false,sexually transmitted desease,
aids,de,,Disease;Sexual,medium,false,false,true,embeddable,true,true,false,,
aids,en,,Harm-Abuse,medium,false,false,true,nonEmbeddable,false,true,false,,
aids,no,æids,Sexual,severe,false,false,false,exactMatch,true,false,false,human immunodeficiency virus disease,
aids,pt,,Sexual,medium,false,false,true,embeddable,true,true,false,,
aiken,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,Ciudad de Carolina del Sur.,
aim,en,,PII,mild,false,false,true,nonEmbeddable,false,true,true,AOL Instant Messenger,
aimed a gun,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed a gunn,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed a guns,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed a guns',en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed bombed,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed bomber,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed bombing,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed bombs,en,,Disney;Weapons,none,false,false,true,nonEmbeddable,false,true,false,,
aimed gun,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed gunn,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed guns,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aimed guns',en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming a gun,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming a gunn,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming a guns,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
