text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
chafalote, es, ario;arrivista;asshole;balurdo;bastardo;bebota;befa;bitch;blade;blenorrea;bobita;bobito;bode;bofe;boludito;borrero;bostero;braguetero;broca;bruto;buey;bugarrón;cabrado;cacreca;cafiche;cagado;cagueta;cagón;calato;carechimba;castrado;cerda;cerdo;cerote;chacha;chacho;chafalote;chaira;chancha;chanchita;chancho;chcuhumeca;chichona;chimar;chirrete;chirri;chivo;chocote;cholo;choncha;choncho;chopo;choro;chucha;chucho;chuchumeca;chuco;chumino;chunchurria;chupete;cipotón;cochón;colero;comemierda;corroncho;descojono;desgraciado;desmadrado;dot;dxk;déspota;enano;escoria;estúpido;fachita;fea;felpudita;feo;firro;fofa;fofo;fregado;frijolero;fuck;fundillo;gabacho;gamin;garnufia;gigolo;golli;golly;gonochachurria;gonochanchurria;gorda;gordo;gorsovia;greengo;gringo;guaca;guache;guacho;guanajo;guano;guevon;herofilo;hinchapelotas;hocicón;huacha;huachos;huevada;iguazo;imbecil;inepto;infradotado;inga tu;insultar;insultos;jaina;lambehuevos;lamehuevos;lechera;lechero;lechona;lechón;limada;lujuria;lujurioso;maldito;malnacida;malnacido;maniaco;marrano;marranoa;menso;mocha;mocho;mocoso;moro;naca;nalgas;negro;nigger;ogt;ouerco;pacaya;papanatas;pargo;partes nobles;pashpa;pechoca;pelotudo;pepa;perverso;pesquesuda;petiso;pichurria;piojoso;piricuaro;pirula;pisto;pitaya;plebe;pocho;pogo;potorro;puerca;puerco;punga;putón;puñetero;rata;retrasado;rosquero;shit;sinfiate;sisimite;sorcho;soreco;soreta;sorete;soretear;suato;subnormal;sucia;síndrome de down;tayudo;tetona;tolete;tonta;tontita;tontito;tonto;troncho;trunco;tungo;turro;uache;uacho;vergajo;wache;wey;wogg;yegua;yesco;zopenco;zorrón;ñanga;ñero, Bullying;Microsoft, medium, false, false, true, embeddable, true, true, true, , echo;orro;syndrome;síndrome;tonto
herregud, no, , Vulgarity, mild, false, false, false, embeddable, true, false, false, oh my god
caipirinha, pt, , Alcohol-Drug, medium, false, false, true, embeddable, true, true, false, 
女傑, ja, joketsu;じょけつ;ジョケツ, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, lady with manly braveness; derogatory
まざーふぁっかあ, ja, mazafakka;マザーファッカー, Vulgarity, severe, false, false, true, embeddable, false, true, false, Motherfucker;  from English; Swearword
holtville, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
christiansburg, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Virginia.
javertus, da, , Sexual, high, false, false, false, embeddable, true, true, false, penis
indian, ja, indian;インディアン, Bigotry-Racism, medium, false, false, true, embeddable, false, true, false, native American
pedazos, es, cachito;pedazos, Sexual, medium, false, false, true, embeddable, false, true, false, penis...arg
