Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
���goldnuts1,not_exact,,,,nut,en,Vulgarity,mild,nuts,en,Sexual,mild
mollykatenz,not_exact,,,,molly,en,Alcohol-Drug,mild
Jack_Lily,not_exact,,,,ck,en,Disney,mild
calebward,not_exact,,,,ale,en,Alcohol-Drug,mild
Jesse_dirk,not_exact,,,,sse,en,Disney;Sexual,mild
florianpellen,not_exact,,,,ellen,en,Vulgarity,mild
DIEGOARRIETA,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
alexhurtubise,not_exact,,,,ale,en,Alcohol-Drug,mild
Kalum_Mckenzie,not_exact,,,,ck,en,Disney,mild
StephenCMantin,not_exact,,,,anti,en,Disney,mild
Hindsblood,not_exact,,,,blood,en,Violence,mild
braydenjohnson7,not_exact,,,,ay,en,Disney,mild
kiaralugo27,not_exact,,,,lug,en,Vulgarity,mild
sincerelyhayley,not_exact,,,,ay,en,Disney,mild
fatimahermosa,not_exact,,,,fat,en,Bullying,mild
NiecyMonique,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
OflanaganFinn,not_exact,,,,ana,en,Sexual,mild
ayanashmaan,not_exact,,,,ana,en,Sexual,mild,ay,en,Disney,mild
JayaDawn,not_exact,,,,ay,en,Disney,mild
jordiecole,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
AlessiaMichelle,not_exact,,,,siam,en,Disney;PII,mild,ale,en,Alcohol-Drug,mild
liamzwicker,not_exact,,,,ck,en,Disney,mild
Ibrahimcarrizales17,not_exact,,,,ale,en,Alcohol-Drug,mild
kaylakaitlynn,not_exact,,,,ay,en,Disney,mild
mayanAudrey,not_exact,,,,ana,en,Sexual,mild,ay,en,Disney,mild
MikeLaCasse,not_exact,,,,sse,en,Disney;Sexual,mild
carlosrubalcava,not_exact,,,,rub,en,Sexual,mild
poobumlum,not_exact,,,,poo,en,Vulgarity,mild
barbara_solis,not_exact,,,,bar,en,Bullying,mild
Thomyhacker14,not_exact,,,,hack,en,Disney,mild,ck,en,Disney,mild
LauraLaBelleN,not_exact,,,,ellen,en,Vulgarity,mild
xXxNegroxXx,not_exact,,,,neg,en,Disney,none,xxx,en,Vulgarity,mild
luis rosales hey men,not_exact,,,,ale,en,Alcohol-Drug,mild
oscar_fuquen,not_exact,,,,fuqu,en,Microsoft;Vulgarity,high,fuq,en,Microsoft;Vulgarity,high,fuque,en,Microsoft;Vulgarity,high
alejitodiaz98,not_exact,,,,ale,en,Alcohol-Drug,mild
Black_Charles,not_exact,,,,ck,en,Disney,mild
disneychannel,not_exact,,,,channel,en,PII,mild
sniper59,not_exact,,,,nip,en,Alcohol-Drug;Disney,mild
kodiemoore,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
FlorcitaCortez,not_exact,,,,taco,en,Disney,none
bjdisplay,not_exact,,,,ay,en,Disney,mild
alexgiron2000,not_exact,,,,ale,en,Alcohol-Drug,mild
iluvblood14,not_exact,,,,blood,en,Violence,mild
JonathanAllen,not_exact,,,,ana,en,Sexual,mild
ValentinaIsabel9,not_exact,,,,ale,en,Alcohol-Drug,mild
facu_lugo,not_exact,,,,lug,en,Vulgarity,mild
rodrigorojasmunoz,not_exact,,,,rod,en,Sexual,mild
lameercarraway,not_exact,,,,ay,en,Disney,mild
noobkiller188,not_exact,,,,noob,en,Vulgarity,mild,kil,en,Bullying,mild,killer,en,Bullying,mild,kill,en,Bullying,mild
PeytonKillingsworth,not_exact,,,,kil,en,Bullying,mild,killing,en,Bullying,mild,kill,en,Bullying,mild
APHODCK,not_exact,,,,ck,en,Disney,mild
KatieFaye27,not_exact,,,,ay,en,Disney,mild
creeperfan181,not_exact,,,,creep,en,Vulgarity,mild
dabudaman22,not_exact,,,,bud,en,Alcohol-Drug,mild
jackie_smith,not_exact,,,,ck,en,Disney,mild
black_death,not_exact,,,,death,en,Harm-Abuse,mild,ck,en,Disney,mild
rockymyers420,not_exact,,,,ck,en,Disney,mild
batistabomb2,not_exact,,,,bomb,en,Harm-Abuse;Threats,mild,bom,en,Harm-Abuse;Threats,mild,stab,en,Violence,mild
dimatanaev,not_exact,,,,ana,en,Sexual,mild
santiagodelgado2003,not_exact,,,,anti,en,Disney,mild
ziadbarca,not_exact,,,,bar,en,Bullying,mild
Max_creeper,not_exact,,,,creep,en,Vulgarity,mild
Gtasanandres1,not_exact,,,,ana,en,Sexual,mild
RodrigoSilvaCorreia,not_exact,,,,rod,en,Sexual,mild
GustavoAlejandro,not_exact,,,,ale,en,Alcohol-Drug,mild
josealejandro,not_exact,,,,ale,en,Alcohol-Drug,mild
singlemanswinger,not_exact,,,,swinger,en,Disney;Sexual,mild
AlejaSegura,not_exact,,,,ale,en,Alcohol-Drug,mild
captainjacksparrow,not_exact,,,,ck,en,Disney,mild
Diana2Honorato,not_exact,,,,ana,en,Sexual,mild
saravalentina7,not_exact,,,,ale,en,Alcohol-Drug,mild
kAyLa_CoOpEr09,not_exact,,,,ay,en,Disney,mild
Jack_Sparrow,not_exact,,,,ck,en,Disney,mild
jessicaleighbarnes7,not_exact,,,,bar,en,Bullying,mild,ale,en,Alcohol-Drug,mild
derekpeterson,not_exact,,,,peter,en,Microsoft,mild
Skummyknuckles,not_exact,,,,ck,en,Disney,mild
DiegoHernandez,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
GerardoPellicer,not_exact,,,,lic,en,Sexual,mild
ella_maley03,not_exact,,,,ale,en,Alcohol-Drug,mild
dickvanbling,not_exact,,,,ck,en,Disney,mild
alexdobrenov,not_exact,,,,ale,en,Alcohol-Drug,mild
OldPalDink,not_exact,,,,pal,en,Grooming,mild
GamersGirlfriend2011,not_exact,,,,irl,en,Grooming;PII,mild
crackie2663,not_exact,,,,ck,en,Disney,mild
carissaprokop,not_exact,,,,sap,en,Vulgarity,mild
sniper15,not_exact,,,,nip,en,Alcohol-Drug;Disney,mild
mickey30hostal,not_exact,,,,ck,en,Disney,mild
alexandrametts,not_exact,,,,ale,en,Alcohol-Drug,mild
FatalRevenge,not_exact,,,,fat,en,Bullying,mild
LuisMoralesGD,not_exact,,,,ale,en,Alcohol-Drug,mild
bryanrodas2006,not_exact,,,,rod,en,Sexual,mild
SAMUELDHANA,not_exact,,,,ana,en,Sexual,mild
GiovanaNogueira,not_exact,,,,ana,en,Sexual,mild
UlyanaVolkova,not_exact,,,,ana,en,Sexual,mild
playboyx,not_exact,,,,ay,en,Disney,mild
Iris_Gonzalez7813,not_exact,,,,ale,en,Alcohol-Drug,mild
anistasialane,not_exact,,,,sial,en,Disney;PII,mild
simonpale,not_exact,,,,pal,en,Grooming,mild,ale,en,Alcohol-Drug,mild
LeslieGray,not_exact,,,,gray,en,Disney,mild,ay,en,Disney,mild
tianatgordon,not_exact,,,,ana,en,Sexual,mild
Jess_Speer_12,not_exact,,,,pee,en,Vulgarity,mild
anton_fokus,not_exact,,,,fok,en,Vulgarity,high
hothunni91,not_exact,,,,hot,en,Sexual,mild
FArrislamees,not_exact,,,,ees,en,Alcohol-Drug,mild
ilovelicy8,not_exact,,,,lic,en,Sexual,mild
Capita alejo suarez,not_exact,,,,ale,en,Alcohol-Drug,mild
abdiel el gordo,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
yadiel alexis,not_exact,,,,ale,en,Alcohol-Drug,mild,die,en,Disney;Harm-Abuse;Threats,mild
lover girl 123,not_exact,,,,irl,en,Grooming;PII,mild
igorSlobodkin,not_exact,,,,lob,en,Vulgarity,mild
