text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
aarsneuken,nl,reteneuker;retenneuker,Vulgarity,severe,FALSE,FALSE,TRUE,nonEmbeddable,TRUE,TRUE,FALSE,Ass fuck,
aashole,fi,asshole,Sexual;Vulgarity,high,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,asshole,
aasi,fi,,Bullying,mild,TRUE,FALSE,TRUE,exactMatch,TRUE,FALSE,FALSE,stupid;literally donkey,
abaixar a bermuda,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abaixar as calÃ§as,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abaixar o shorts,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abaixar o vestido,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abanda,es,,Places,medium,FALSE,FALSE,FALSE,nonEmbeddable,FALSE,FALSE,FALSE,Ciudad de Alabama.,
abe,da,,Bullying,mild,FALSE,FALSE,FALSE,embeddable,TRUE,TRUE,FALSE,monkey,
abehjerne,da,,Bullying,medium,FALSE,FALSE,FALSE,embeddable,TRUE,TRUE,FALSE,monkey brain,
abemÃ¥s,da,,Bullying,high,FALSE,FALSE,TRUE,exactMatch,TRUE,TRUE,FALSE,abemÃ¥s,
aben,da,,Sexual,mild,FALSE,FALSE,FALSE,nonEmbeddable,TRUE,TRUE,FALSE,slang for male genitalia,Ã¥ben
abigail,en,,Grooming;Sexual;Vulgarity,mild,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,A middle-aged homosexual man who is in the closet.,
abo,en,abos,Microsoft,medium,FALSE,FALSE,FALSE,exactMatch,FALSE,FALSE,FALSE,,
abort,da,,Sexual,medium,FALSE,FALSE,FALSE,embeddable,TRUE,TRUE,FALSE,abortion,
abortar,es,,Harm-Abuse,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abortar,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abortion,en,abortionist,Sexual,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,Termination of a pregnancy,
aborto,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,Abortion is defined as the termination of pregnancy by the removal or expulsion from the uterus of a fetus or embryo prior to viability.,
abortti,fi,,Sexual,high,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,abortion,
about to come,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
abrir as pernas,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abrir o zÃ_per,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abruti,fr,abrutis,Vulgarity,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
absinth,en,@bs1nth;@bsinth;absinthe;absinthism,Alcohol-Drug,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,A liquor made from worm-wood that contains hallucinogens.,
absinto,pt,,Alcohol-Drug,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,,
abspritzen,de,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abspritzer,de,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,,
abstinence,fr,,Sexual,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
abusar,es,abusa de mi;abusando de mi;abusando de ti;abusar de mi;abusar de ti;abusarÃ¡s de mi;abusarÃ© de ti;abusaste de mi;abuso de mi;abuso de ti,Harm-Abuse;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
abusar,pt,,Alcohol-Drug;Harm-Abuse;Sexual;Threats,medium,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,TRUE,To abuse.,
